trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'e': 1.0, 'a': 0.5}",25,0,-75.59640792405158,"{0: 17, 1: 1, 2: 5, 3: 2, 4: 0}",0
2,False,"{'e': 0.6065306597126334, 'a': 0.5}",30,0,-271.25213794928135,"{0: 12, 1: 6, 2: 8, 3: 0, 4: 4}",0
3,False,"{'e': 0.36787944117144233, 'a': 0.5}",25,15,-43.082122521799036,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 1}",1
4,False,"{'e': 0.22313016014842982, 'a': 0.5}",30,11,-70.55902751321076,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 1}",1
5,False,"{'e': 0.1353352832366127, 'a': 0.5}",25,0,-79.0658611222046,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 2}",0
6,False,"{'e': 0.0820849986238988, 'a': 0.5}",25,0,-102.41702162314311,"{0: 21, 1: 1, 2: 0, 3: 0, 4: 3}",0
7,False,"{'e': 0.049787068367863944, 'a': 0.5}",30,0,-95.89845000727938,"{0: 23, 1: 2, 2: 2, 3: 2, 4: 1}",0
8,False,"{'e': 0.0301973834223185, 'a': 0.5}",20,0,-36.10786609456876,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
9,False,"{'e': 0.01831563888873418, 'a': 0.5}",20,0,-55.6210925300894,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",1
10,False,"{'e': 0.011108996538242306, 'a': 0.5}",35,2,-78.12222717593352,"{0: 28, 1: 0, 2: 3, 3: 0, 4: 2}",1
11,False,"{'e': 0.006737946999085467, 'a': 0.5}",25,13,-73.11630122492143,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 2}",1
12,False,"{'e': 0.004086771438464067, 'a': 0.5}",25,0,-72.9688368328469,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 2}",0
13,False,"{'e': 0.0024787521766663585, 'a': 0.5}",35,0,-97.75912819867219,"{0: 30, 1: 1, 2: 1, 3: 0, 4: 3}",0
14,False,"{'e': 0.0015034391929775724, 'a': 0.5}",20,3,-3.2883949045186536,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 0}",1
15,False,"{'e': 0.0009118819655545162, 'a': 0.5}",20,0,-1.4939591061979318,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
16,False,"{'e': 0.0005530843701478336, 'a': 0.5}",20,0,-73.84986504027964,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
17,False,"{'e': 0.00033546262790251185, 'a': 0.5}",25,0,18.783095714395905,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
18,False,"{'e': 0.00020346836901064417, 'a': 0.5}",25,0,-36.77841823248031,"{0: 21, 1: 2, 2: 1, 3: 0, 4: 1}",0
19,False,"{'e': 0.00012340980408667956, 'a': 0.5}",25,0,-20.85511629425852,"{0: 21, 1: 1, 2: 2, 3: 1, 4: 0}",0
20,False,"{'e': 7.48518298877006e-05, 'a': 0.5}",30,0,-67.71868111397605,"{0: 26, 1: 0, 2: 2, 3: 0, 4: 2}",0
1,True,"{'e': 0, 'a': 0}",20,0,-10.347091492782795,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
2,True,"{'e': 0, 'a': 0}",25,0,26.360878879348594,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
3,True,"{'e': 0, 'a': 0}",30,0,-9.281679056115674,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 1}",0
4,True,"{'e': 0, 'a': 0}",25,0,-59.211638158360984,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 2}",0
5,True,"{'e': 0, 'a': 0}",20,0,23.463676454431287,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
6,True,"{'e': 0, 'a': 0}",25,2,-6.09818239290764,"{0: 19, 1: 2, 2: 2, 3: 0, 4: 0}",1
7,True,"{'e': 0, 'a': 0}",20,0,-101.20719135050363,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 3}",0
8,True,"{'e': 0, 'a': 0}",35,0,-81.01280542353673,"{0: 29, 1: 1, 2: 2, 3: 1, 4: 2}",0
9,True,"{'e': 0, 'a': 0}",20,0,-32.81090425168563,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
10,True,"{'e': 0, 'a': 0}",25,0,-60.31076708545011,"{0: 21, 1: 0, 2: 2, 3: 1, 4: 1}",0
11,True,"{'e': 0, 'a': 0}",25,0,-47.31710134851402,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
12,True,"{'e': 0, 'a': 0}",30,21,11.416799278414473,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,True,"{'e': 0, 'a': 0}",25,0,-80.92230897567751,"{0: 20, 1: 2, 2: 1, 3: 0, 4: 2}",0
14,True,"{'e': 0, 'a': 0}",20,0,-28.928424618657445,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
15,True,"{'e': 0, 'a': 0}",30,0,-112.03083535469585,"{0: 25, 1: 1, 2: 0, 3: 1, 4: 3}",0
16,True,"{'e': 0, 'a': 0}",25,0,-32.763364089794834,"{0: 19, 1: 4, 2: 0, 3: 2, 4: 0}",0
17,True,"{'e': 0, 'a': 0}",25,0,0.06478623680022633,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
18,True,"{'e': 0, 'a': 0}",35,0,29.180630585907274,"{0: 34, 1: 1, 2: 0, 3: 0, 4: 0}",0
19,True,"{'e': 0, 'a': 0}",20,0,-70.62689642659886,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
20,True,"{'e': 0, 'a': 0}",30,0,8.006639929889982,"{0: 27, 1: 0, 2: 3, 3: 0, 4: 0}",0
