trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'e': 1.0, 'a': 0.5}",30,0,-114.42008063481057,"{0: 21, 1: 0, 2: 6, 3: 2, 4: 1}",0
2,False,"{'e': 0.6065306597126334, 'a': 0.5}",25,0,-152.24267115118695,"{0: 15, 1: 4, 2: 3, 3: 0, 4: 3}",0
3,False,"{'e': 0.36787944117144233, 'a': 0.5}",20,0,-73.58690265573925,"{0: 16, 1: 2, 2: 0, 3: 0, 4: 2}",0
4,False,"{'e': 0.22313016014842982, 'a': 0.5}",20,0,-84.33859814029155,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
5,False,"{'e': 0.1353352832366127, 'a': 0.5}",25,0,-98.20752808548119,"{0: 19, 1: 3, 2: 0, 3: 1, 4: 2}",0
6,False,"{'e': 0.0820849986238988, 'a': 0.5}",25,0,-3.7095280500550363,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 0}",0
7,False,"{'e': 0.049787068367863944, 'a': 0.5}",25,0,-115.50363233752377,"{0: 20, 1: 0, 2: 2, 3: 0, 4: 3}",0
8,False,"{'e': 0.0301973834223185, 'a': 0.5}",20,0,-11.454316815546862,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
9,False,"{'e': 0.01831563888873418, 'a': 0.5}",20,2,-26.62520694732306,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 1}",1
10,False,"{'e': 0.011108996538242306, 'a': 0.5}",20,0,-19.36129096561976,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
11,False,"{'e': 0.006737946999085467, 'a': 0.5}",20,3,22.23849682616092,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
12,False,"{'e': 0.004086771438464067, 'a': 0.5}",25,0,-24.59057676397068,"{0: 21, 1: 2, 2: 0, 3: 2, 4: 0}",0
13,False,"{'e': 0.0024787521766663585, 'a': 0.5}",30,0,-29.059169189568124,"{0: 27, 1: 0, 2: 2, 3: 0, 4: 1}",0
14,False,"{'e': 0.0015034391929775724, 'a': 0.5}",30,0,-8.819593888765121,"{0: 28, 1: 1, 2: 0, 3: 0, 4: 1}",0
15,False,"{'e': 0.0009118819655545162, 'a': 0.5}",20,0,-124.50722423461524,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 3}",0
16,False,"{'e': 0.0005530843701478336, 'a': 0.5}",25,0,-70.13548550096448,"{0: 20, 1: 1, 2: 1, 3: 2, 4: 1}",0
17,False,"{'e': 0.00033546262790251185, 'a': 0.5}",20,0,-0.32014961636777484,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
18,False,"{'e': 0.00020346836901064417, 'a': 0.5}",25,0,-2.8632996415967336,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
19,False,"{'e': 0.00012340980408667956, 'a': 0.5}",20,0,-77.26589846354071,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 2}",0
20,False,"{'e': 7.48518298877006e-05, 'a': 0.5}",20,0,12.104541184461587,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
1,True,"{'e': 0, 'a': 0}",25,9,-64.06115016068328,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 2}",1
2,True,"{'e': 0, 'a': 0}",20,0,-15.180233673909168,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
3,True,"{'e': 0, 'a': 0}",25,0,-84.74133239633211,"{0: 21, 1: 1, 2: 0, 3: 1, 4: 2}",0
4,True,"{'e': 0, 'a': 0}",20,8,18.158391760547627,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'e': 0, 'a': 0}",25,2,-143.74923476075355,"{0: 17, 1: 1, 2: 0, 3: 2, 4: 3}",1
6,True,"{'e': 0, 'a': 0}",20,16,9.394158706425474,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'e': 0, 'a': 0}",30,3,-5.213939784436377,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 1}",1
8,True,"{'e': 0, 'a': 0}",25,0,18.031587788644966,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
9,True,"{'e': 0, 'a': 0}",30,9,-78.02876524202482,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 2}",1
10,True,"{'e': 0, 'a': 0}",35,15,-8.594439396796261,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",1
