trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'e': 1.0, 'a': 0.5}",20,0,-44.551892038926184,"{0: 9, 1: 11, 2: 0, 3: 0, 4: 0}",0
2,False,"{'e': 1.0, 'a': 0.5}",20,0,-43.06255605991121,"{0: 9, 1: 11, 2: 0, 3: 0, 4: 0}",0
3,False,"{'e': 1.0, 'a': 0.5}",25,0,-36.5233157792446,"{0: 13, 1: 12, 2: 0, 3: 0, 4: 0}",0
4,False,"{'e': 1.0, 'a': 0.5}",25,0,-48.279598663624355,"{0: 12, 1: 13, 2: 0, 3: 0, 4: 0}",0
5,False,"{'e': 1.0, 'a': 0.5}",25,0,-64.50847755669459,"{0: 10, 1: 15, 2: 0, 3: 0, 4: 0}",0
6,False,"{'e': 1.0, 'a': 0.5}",20,0,-36.80143944015678,"{0: 11, 1: 9, 2: 0, 3: 0, 4: 0}",0
7,False,"{'e': 1.0, 'a': 0.5}",35,0,-62.987599332685626,"{0: 20, 1: 15, 2: 0, 3: 0, 4: 0}",0
8,False,"{'e': 1.0, 'a': 0.5}",20,0,-25.909430219732613,"{0: 11, 1: 9, 2: 0, 3: 0, 4: 0}",0
9,False,"{'e': 1.0, 'a': 0.5}",25,0,-42.855013721004426,"{0: 15, 1: 10, 2: 0, 3: 0, 4: 0}",0
10,False,"{'e': 1.0, 'a': 0.5}",25,0,-52.25790869050455,"{0: 12, 1: 13, 2: 0, 3: 0, 4: 0}",0
11,False,"{'e': 1.0, 'a': 0.5}",20,0,-38.263830015351324,"{0: 11, 1: 9, 2: 0, 3: 0, 4: 0}",0
12,False,"{'e': 1.0, 'a': 0.5}",20,0,-37.273282443194354,"{0: 9, 1: 11, 2: 0, 3: 0, 4: 0}",0
13,False,"{'e': 1.0, 'a': 0.5}",20,0,-43.10184251527374,"{0: 9, 1: 11, 2: 0, 3: 0, 4: 0}",0
14,False,"{'e': 1.0, 'a': 0.5}",30,0,-33.93250619872449,"{0: 17, 1: 13, 2: 0, 3: 0, 4: 0}",0
15,False,"{'e': 1.0, 'a': 0.5}",20,0,-57.75440630486594,"{0: 8, 1: 12, 2: 0, 3: 0, 4: 0}",0
16,False,"{'e': 1.0, 'a': 0.5}",20,0,-39.000426761626045,"{0: 11, 1: 9, 2: 0, 3: 0, 4: 0}",0
17,False,"{'e': 1.0, 'a': 0.5}",20,0,-56.56913788570169,"{0: 8, 1: 12, 2: 0, 3: 0, 4: 0}",0
18,False,"{'e': 1.0, 'a': 0.5}",20,0,-41.206076229348014,"{0: 9, 1: 11, 2: 0, 3: 0, 4: 0}",0
